Day,Date,Close,Open,High,Low
Thursday,2021-07-01,34853.05,34975.75,35086.35,34810.85
Friday,2021-07-02,34951.65,34934.0,35099.0,34760.0
Monday,2021-07-05,35336.9,35080.0,35366.0,35055.6
Tuesday,2021-07-06,35677.4,35273.95,35925.0,35273.95
Wednesday,2021-07-07,35865.6,35599.7,35899.0,35470.1
Thursday,2021-07-08,35411.0,35712.0,35944.25,35261.6
Friday,2021-07-09,35270.35,35326.3,35372.0,34980.0
Monday,2021-07-12,35311.55,35386.0,35569.35,35152.05
Tuesday,2021-07-13,35761.65,35530.0,35815.0,35461.15
Wednesday,2021-07-14,35755.6,35650.0,35885.0,35555.15
Thursday,2021-07-15,35988.25,35760.05,36067.95,35718.65
Friday,2021-07-16,35856.5,36049.9,36075.9,35737.0
Monday,2021-07-19,35170.75,35222.2,35449.95,34965.5
Tuesday,2021-07-20,34487.1,34955.65,35000.75,34440.0
Wednesday,2021-07-21,34487.1,34955.65,35000.75,34440.0
Thursday,2021-07-22,34724.85,34802.0,35049.0,34599.95
Friday,2021-07-23,35040.9,34800.0,35129.9,34405.5
Monday,2021-07-26,34962.8,34889.0,35155.0,34731.85
Tuesday,2021-07-27,34817.85,35039.95,35188.0,34710.3
Wednesday,2021-07-28,34559.3,34768.5,34829.0,34118.2
Thursday,2021-07-29,34691.5,34675.25,34777.05,34482.9
Friday,2021-07-30,34673.15,34800.0,34850.0,34545.05
Monday,2021-08-02,34825.85,34820.5,34987.15,34678.25
Tuesday,2021-08-03,35296.7,34825.05,35347.0,34782.05
Wednesday,2021-08-04,36094.35,35425.1,36275.0,35413.0
Thursday,2021-08-05,35954.1,36116.45,36174.65,35751.0
Friday,2021-08-06,35941.05,35953.6,36182.5,35787.05
Monday,2021-08-09,36128.6,35900.0,36278.0,35804.05
Tuesday,2021-08-10,36135.1,36039.95,36395.15,36012.0
Wednesday,2021-08-11,35917.2,36250.25,36274.95,35670.0
Thursday,2021-08-12,36063.8,35825.4,36128.0,35793.1
Friday,2021-08-13,36211.75,36100.0,36269.15,35960.0
Monday,2021-08-16,36140.25,36151.1,36296.35,36070.95
Tuesday,2021-08-17,35937.85,35988.7,36060.0,35690.75
Wednesday,2021-08-18,35601.3,36275.0,36280.0,35477.0
Thursday,2021-08-19,35601.3,36275.0,36280.0,35477.0
Friday,2021-08-20,35062.95,35012.2,35329.0,34902.0
Monday,2021-08-23,35159.2,35401.0,35401.0,34850.0
Tuesday,2021-08-24,35719.35,35152.1,35817.55,35085.0
Wednesday,2021-08-25,35617.65,35761.05,35909.95,35520.0
Thursday,2021-08-26,35617.55,35520.0,35787.95,35425.0
Friday,2021-08-27,35725.5,35677.65,35817.25,35470.8
Monday,2021-08-30,36478.85,35825.2,36532.35,35820.0
Tuesday,2021-08-31,36513.5,36498.0,36690.0,36321.85
Wednesday,2021-09-01,36699.0,36625.05,37085.0,36558.0
Thursday,2021-09-02,36969.25,36511.0,37033.85,36511.0
Friday,2021-09-03,36899.75,37038.95,37249.0,36670.05
Monday,2021-09-06,36757.15,36995.0,37037.0,36690.05
Tuesday,2021-09-07,36585.95,36700.05,36838.5,36251.2
Wednesday,2021-09-08,36881.7,36619.0,36946.0,36502.0
Thursday,2021-09-09,36772.55,36725.25,36963.4,36651.0
Friday,2021-09-10,36772.55,36725.25,36963.4,36651.0
Monday,2021-09-13,36576.55,36730.6,36744.9,36412.0
Tuesday,2021-09-14,36714.45,36701.0,36839.0,36616.2
Wednesday,2021-09-15,36968.25,36761.1,37064.75,36590.35
Thursday,2021-09-16,37780.2,37020.0,37855.65,36984.1
Friday,2021-09-17,37850.05,37990.0,38224.7,37466.0
Monday,2021-09-20,37224.25,37525.0,37885.0,37145.4
Tuesday,2021-09-21,37370.5,37300.0,37435.0,36609.35
Wednesday,2021-09-22,37100.3,37349.0,37440.0,36990.0
Thursday,2021-09-23,37861.05,37350.0,37910.2,37273.0
Friday,2021-09-24,37854.3,38051.5,38174.9,37720.0
Monday,2021-09-27,38224.8,37994.0,38395.6,37974.4
Tuesday,2021-09-28,38044.15,38350.1,38377.0,37351.0
Wednesday,2021-09-29,37878.5,37675.65,38048.85,37392.65
Thursday,2021-09-30,37425.1,37810.05,37913.15,37384.4
Friday,2021-10-01,37356.4,37321.0,37424.95,36950.15
Monday,2021-10-04,37735.25,37445.0,37785.0,37445.0
Tuesday,2021-10-05,37864.2,37600.0,37912.0,37472.15
Wednesday,2021-10-06,37624.35,37887.85,38190.0,37560.0
Thursday,2021-10-07,37886.3,37912.0,38049.9,37768.1
Friday,2021-10-08,37917.05,38029.95,38200.0,37788.45
Monday,2021-10-11,38373.45,38000.0,38569.65,37859.15
Tuesday,2021-10-12,38588.35,38259.0,38668.0,38180.0
Wednesday,2021-10-13,38718.35,38750.05,38836.8,38554.95
Thursday,2021-10-14,39402.35,38726.25,39425.0,38702.0
Friday,2021-10-15,39402.35,38726.25,39425.0,38702.0
Monday,2021-10-18,39782.45,39785.0,40001.95,39612.2
Tuesday,2021-10-19,39633.35,39959.95,40040.45,39409.0
Wednesday,2021-10-20,39654.9,39512.5,39850.0,39394.85
Thursday,2021-10-21,40105.05,39733.0,40326.85,39482.35
Friday,2021-10-22,40396.4,40251.15,40582.45,40195.85
Monday,2021-10-25,41271.9,40806.0,41820.8,40455.05
Tuesday,2021-10-26,41360.45,41214.9,41424.0,40876.05
Wednesday,2021-10-27,40959.95,41305.0,41364.4,40840.4
Thursday,2021-10-28,39508.95,40877.0,40949.0,39476.0
Friday,2021-10-29,39314.45,39644.95,39890.85,38606.9
Monday,2021-11-01,40028.1,39555.0,40116.0,39254.15
Tuesday,2021-11-02,40081.55,40075.0,40250.0,39725.0
Wednesday,2021-11-03,39496.6,40106.0,40295.0,39412.45
Thursday,2021-11-04,39632.65,39600.55,39780.0,39574.0
Friday,2021-11-05,39632.65,39600.55,39780.0,39574.0
Monday,2021-11-08,39652.5,39615.05,39750.95,39051.0
Tuesday,2021-11-09,39544.6,39675.0,39708.0,39351.75
Wednesday,2021-11-10,39120.6,39337.0,39350.0,38985.95
Thursday,2021-11-11,38686.1,39044.0,39044.0,38442.95
Friday,2021-11-12,38871.35,38171.05,38948.95,38171.05
Monday,2021-11-15,38858.0,38950.0,39179.7,38712.05
Tuesday,2021-11-16,38404.15,38800.0,38849.8,38292.45
Wednesday,2021-11-17,38139.4,38150.0,38562.85,38055.0
Thursday,2021-11-18,38105.7,38102.35,38314.9,37821.3
Friday,2021-11-19,38105.7,38102.35,38314.9,37821.3
Monday,2021-11-22,37182.1,38199.9,38214.1,36680.05
Tuesday,2021-11-23,37284.3,36921.65,37474.95,36682.0
Wednesday,2021-11-24,37465.0,37401.0,37895.5,37239.45
Thursday,2021-11-25,37364.75,37324.0,37538.7,37115.0
Friday,2021-11-26,36157.8,37055.25,37093.75,36025.05
