Day,Date,Close,Open,High,Low
Friday,2019-12-27,32604.7,32250.1,32633.75,32246.5
Monday,2019-12-30,32554.05,32632.45,32773.85,32431.0
Tuesday,2019-12-31,32366.05,32478.7,32521.9,32320.0
Wednesday,2020-01-01,32285.2,32417.3,32495.75,32225.0
Thursday,2020-01-02,32579.15,32299.0,32606.05,32281.55
Friday,2020-01-03,32161.2,32445.5,32489.05,32060.2
Monday,2020-01-06,31362.05,32000.0,32023.85,31286.0
Tuesday,2020-01-07,31492.8,31551.1,31915.8,31200.0
Wednesday,2020-01-08,31444.05,31185.0,31541.2,30971.8
Thursday,2020-01-09,32152.65,31801.0,32200.0,31760.15
Friday,2020-01-10,32122.75,32263.95,32384.95,31980.0
Monday,2020-01-13,32242.25,32159.65,32380.0,32123.75
Tuesday,2020-01-14,32169.05,32240.0,32260.0,32031.8
Wednesday,2020-01-15,31943.85,32089.0,32105.5,31765.8
Thursday,2020-01-16,31935.7,31900.0,32054.05,31744.95
Friday,2020-01-17,31723.75,31660.25,31874.3,31540.0
Monday,2020-01-20,31181.85,31997.65,31997.65,31126.1
Tuesday,2020-01-21,31042.8,31049.9,31200.0,30920.95
Wednesday,2020-01-22,30802.85,31150.0,31230.0,30705.0
Thursday,2020-01-23,31090.1,30800.0,31170.0,30680.0
Friday,2020-01-24,31330.35,31100.55,31438.0,30924.0
Monday,2020-01-27,30879.05,31050.1,31239.9,30850.0
Tuesday,2020-01-28,30771.6,30929.95,31070.0,30675.15
Wednesday,2020-01-29,30905.55,30960.0,31109.05,30866.0
Thursday,2020-01-30,30647.4,31280.0,31280.0,30513.45
Friday,2020-01-31,30937.3,30940.0,31125.7,30780.5
Monday,2020-02-03,30032.15,29729.9,30110.0,29530.0
Tuesday,2020-02-04,30718.45,30300.0,30798.8,30191.05
Wednesday,2020-02-05,31050.35,30760.05,31116.6,30631.2
Thursday,2020-02-06,31332.85,31200.0,31530.9,30956.65
Friday,2020-02-07,31240.4,31339.9,31363.85,31110.05
Monday,2020-02-10,31109.85,31215.2,31259.85,31003.9
Tuesday,2020-02-11,31383.3,31271.5,31516.4,31265.0
Wednesday,2020-02-12,31566.9,31516.5,31619.8,31458.4
Thursday,2020-02-13,31231.35,31565.1,31626.7,31188.85
Friday,2020-02-14,30902.1,31280.0,31470.85,30774.5
Monday,2020-02-17,30776.35,30894.25,31014.9,30640.0
Tuesday,2020-02-18,30581.4,30655.85,30707.15,30282.55
Wednesday,2020-02-19,30856.4,30875.0,30940.0,30652.0
Thursday,2020-02-20,30938.7,30784.0,31098.4,30698.6
Friday,2020-02-21,30938.7,30784.0,31098.4,30698.6
Monday,2020-02-24,30423.0,30615.0,30688.8,30393.35
Tuesday,2020-02-25,30467.9,30500.05,30633.35,30351.5
Wednesday,2020-02-26,30315.5,30230.0,30517.1,30125.5
Thursday,2020-02-27,30187.0,30265.0,30265.0,29951.15
Friday,2020-02-28,29053.9,29625.0,29665.25,28970.15
Monday,2020-03-02,28885.15,29355.55,29648.0,28600.05
Tuesday,2020-03-03,29223.75,29080.0,29328.2,28752.6
Wednesday,2020-03-04,28753.0,29115.0,29299.9,28158.3
Thursday,2020-03-05,28829.3,28839.95,29180.0,28547.05
Friday,2020-03-06,27782.95,27710.15,28063.65,27280.0
Monday,2020-03-09,26525.75,27111.1,27244.0,25935.05
Tuesday,2020-03-10,26525.75,27111.1,27244.0,25935.05
Wednesday,2020-03-11,26490.4,26349.95,26818.0,26215.45
Thursday,2020-03-12,23845.05,25190.0,25344.0,23381.0
Friday,2020-03-13,25028.9,22600.0,25591.9,21000.0
Monday,2020-03-16,22960.75,24311.3,24434.0,22766.25
Tuesday,2020-03-17,22037.05,23193.3,23448.0,21840.0
Wednesday,2020-03-18,20517.95,22198.95,22351.0,20150.0
Thursday,2020-03-19,20028.5,19499.0,20971.15,18787.65
Friday,2020-03-20,20294.35,19959.95,20933.0,19217.75
Monday,2020-03-23,16881.05,18264.95,19200.0,16741.5
Tuesday,2020-03-24,16929.75,17550.0,17949.95,16020.55
Wednesday,2020-03-25,18487.0,16799.95,18735.55,16600.25
Thursday,2020-03-26,19613.9,18700.0,20279.8,18335.5
Friday,2020-03-27,19778.65,20251.0,21272.8,19350.35
Monday,2020-03-30,18799.55,19086.0,19820.0,18676.0
Tuesday,2020-03-31,19135.5,19284.7,19500.0,18817.65
Wednesday,2020-04-01,18171.2,18900.0,18996.05,17962.65
Thursday,2020-04-02,18171.2,18900.0,18996.05,17962.65
Friday,2020-04-03,17175.8,18226.1,18226.1,17075.0
Monday,2020-04-06,17175.8,18226.1,18226.1,17075.0
Tuesday,2020-04-07,19172.0,18254.55,19250.0,17921.0
Wednesday,2020-04-08,18889.5,18816.0,20599.0,18495.0
Thursday,2020-04-09,19768.3,19488.75,19888.0,19071.0
Friday,2020-04-10,19768.3,19488.75,19888.0,19071.0
Monday,2020-04-13,19484.1,19680.0,19826.3,19184.95
Tuesday,2020-04-14,19484.1,19680.0,19826.3,19184.95
Wednesday,2020-04-15,18989.7,19986.0,20219.0,18661.4
Thursday,2020-04-16,19424.3,18905.35,19554.85,18601.0
Friday,2020-04-17,20748.8,20350.0,20934.2,19624.3
Monday,2020-04-20,20482.2,21086.85,21099.85,20374.0
Tuesday,2020-04-21,19333.85,19825.0,19880.0,19166.95
Wednesday,2020-04-22,19677.4,19240.0,19837.8,19002.0
Thursday,2020-04-23,20182.75,19797.95,20299.85,19539.9
Friday,2020-04-24,19517.1,19734.8,19860.0,19381.0
Monday,2020-04-27,20107.1,19690.0,20240.0,19690.0
Tuesday,2020-04-28,20676.1,20399.45,20749.0,20242.0
Wednesday,2020-04-29,21128.1,20540.05,21359.85,20401.05
Thursday,2020-04-30,21534.5,21550.2,21984.85,21342.9
Friday,2020-05-01,21534.5,21550.2,21984.85,21342.9
Monday,2020-05-04,19632.75,20600.0,20600.0,19505.0
Tuesday,2020-05-05,19246.35,19906.05,20098.0,19164.35
Wednesday,2020-05-06,19671.95,19219.2,19819.0,18900.0
Thursday,2020-05-07,19505.3,19470.0,19743.35,19300.0
Friday,2020-05-08,19284.65,19825.0,19950.0,19210.0
Monday,2020-05-11,18914.4,19489.85,19700.0,18855.0
Tuesday,2020-05-12,18839.1,18696.0,18991.0,18209.0
Wednesday,2020-05-13,19617.0,19950.0,20199.0,19423.0
Thursday,2020-05-14,19038.75,19225.65,19340.5,18957.25
Friday,2020-05-15,18807.7,19079.6,19079.65,18651.0
Monday,2020-05-18,17531.6,18705.1,18711.1,17458.3
Tuesday,2020-05-19,17438.75,17735.0,18165.0,17318.0
Wednesday,2020-05-20,17836.65,17390.0,18026.95,17351.7
Thursday,2020-05-21,17644.85,17923.3,18175.0,17565.6
Friday,2020-05-22,17216.1,17499.5,17899.95,17005.95
Monday,2020-05-25,17216.1,17499.5,17899.95,17005.95
Tuesday,2020-05-26,17445.15,17525.0,17690.0,17261.6
Wednesday,2020-05-27,18663.05,17556.75,18863.3,17484.6
